order_submitted_time,NUM_ORDERS
2024-08-07,103695328
2024-12-25,198572473
2024-10-06,135066347
2024-08-12,110751249
2024-08-13,100841078
2024-12-22,188204603
2024-09-11,133437860
2024-09-08,127820581
2025-01-18,244125570
2024-12-05,223257758
2024-08-01,84161665
2024-08-19,97547671
2024-08-18,93463030
2024-10-16,199393588
2024-10-21,188391909
2025-01-04,183092668
2024-10-30,220495177
2024-09-30,159387176
2024-12-18,222363198
2024-11-14,223970963
2024-09-21,145198106
2024-08-31,90581727
2024-09-15,130325555
2024-10-03,146645311
2025-01-17,244035301
2024-08-22,113449313
2024-11-11,207286492
2024-08-23,99741900
2024-08-27,127714029
2024-12-04,220379944
2024-10-17,200376079
2024-12-30,236176504
2024-11-24,218976255
2024-10-10,148978166
2024-11-22,222373061
2024-10-29,209289241
2024-11-30,216515580
2024-12-24,234408235
2024-10-09,133365885
2024-09-09,133207672
2024-12-06,226266886
2024-12-15,235351090
2024-11-21,229611559
2024-11-07,218648805
2024-12-28,232735907
2024-09-02,101324405
2024-12-12,230748247
2024-10-12,163165326
2024-11-25,216185872
2025-01-29,195282387
2024-12-17,224990460
2024-11-03,218856285
2024-08-15,102061055
2025-01-27,105937133
2024-09-10,130159287
2024-10-28,201812356
2024-12-10,224619288
2025-01-07,233590279
2024-08-16,97957756
2024-08-03,87331204
2025-01-09,229601240
2024-10-02,155797734
2024-10-24,197244065
2025-01-23,36896820
2024-08-09,100573552
2025-01-06,189878043
2024-08-28,115795742
2024-08-17,95805461
2024-11-28,211193234
2025-01-22,249164471
2024-09-07,125402472
2024-12-16,220906346
2024-12-23,187246680
2024-12-29,232667505
2024-08-06,103543708
2024-12-31,237676177
2024-09-16,133295486
2024-11-20,214306221
2024-11-02,221082793
2024-10-08,137489399
2025-01-15,235941354
2024-12-01,157269623
2025-01-13,207057221
2024-09-26,137761832
2024-10-05,140129743
2025-01-31,197208635
2024-08-14,95866208
2024-11-06,208695692
2024-10-26,198404184
2025-01-02,180067351
2024-10-22,171877515
2024-12-11,217767454
2024-12-21,187376062
2024-12-14,230417893
2024-08-29,98205972
2024-11-05,181526027
2024-12-20,190768322
2024-10-01,159186188
2024-09-13,134741786
2024-10-19,195412534
2024-12-09,219961255
2024-10-25,203651644
2025-01-11,230822112
2024-11-23,215991622
2025-01-16,212940823
2024-09-28,154888221
2024-11-16,202517243
2024-09-18,142656521
2024-11-04,209146787
2024-09-24,163089755
2024-10-13,162517159
2024-10-07,140059862
2024-12-27,232827663
2024-10-14,168030920
2024-11-08,217123893
2024-08-10,94310686
2024-11-01,208114361
2024-11-12,148775149
2024-12-26,201353556
2024-09-27,157957433
2024-12-13,234080927
2024-08-25,113229509
2025-01-19,244379790
2024-08-21,113343977
2024-09-19,169448496
2024-09-12,132765483
2024-12-03,217911917
2024-09-25,160219091
2025-01-08,231426814
2025-01-01,185882931
2024-10-04,141377557
2024-11-26,221243560
2025-02-01,192300825
2024-10-27,190677405
2024-12-07,231733470
2024-11-17,211854777
2024-09-01,98462829
2024-08-02,88861246
2025-01-21,259573346
2024-08-11,99955604
2024-08-26,121161964
2025-01-05,182642045
2025-02-02,196121926
2024-11-29,232381786
2024-10-15,176516238
2024-12-02,208171873
2025-01-14,230117336
2025-02-03,196502719
2024-11-13,208736722
2025-01-30,198086304
2024-10-20,197127536
2024-10-18,199363464
2024-09-23,141413305
2024-09-05,125648802
2024-08-08,99980569
2024-10-31,216720421
2024-11-19,203350851
2024-08-05,98033659
2024-12-19,216121372
2024-11-15,188489508
2024-08-04,84626057
2024-08-20,115032886
2024-09-04,129148602
2025-01-20,240250146
2025-01-03,182599677
2024-10-11,165470579
2024-08-30,117883869
2024-09-20,167933351
2024-09-17,131337105
2024-08-24,119668448
2024-11-10,219153875
2025-01-10,227728743
2024-09-06,132966461
2024-09-03,112426483
2024-11-27,219924393
2024-09-22,165981939
2024-09-29,155470510
2025-01-28,200224340
2024-10-23,183288107
2025-02-04,87757054
2024-09-14,128092700
2024-11-09,217208637
2024-12-08,222117717
2024-11-18,174196487
2025-01-12,225069510
